Epoch 261: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.126
Epoch 262: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.124
Epoch 263: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.126
Epoch 264: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 265: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 266: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 267: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.126
Epoch 268: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 269: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.127
Epoch 270: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.126
Epoch 271: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.124
Epoch 272: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 273: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 274: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.124
Epoch 275: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.126
Epoch 276: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.124
Epoch 277: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.126
Epoch 278: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 279: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.126
Epoch 280: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.126
Epoch 281: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.124
Epoch 282: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 283: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 284: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.124
Epoch 285: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 286: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 287: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.124
Epoch 288: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 289: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 290: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.124
Epoch 291: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 292: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.126
Epoch 293: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.124
Epoch 294: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 295: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.124
Epoch 296: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 297: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.124
Epoch 298: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 299: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 300: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 301: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.122
Epoch 302: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.121
Epoch 303: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.123
Epoch 304: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 305: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.123
Epoch 306: duration loss = 0.290 | prior loss = 1.207 | diffusion loss = 0.124
Epoch 307: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.122
Epoch 308: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.124
Epoch 309: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.122
Epoch 310: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.124
Epoch 311: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.123
Epoch 312: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.123
Epoch 313: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.123
Epoch 314: duration loss = 0.289 | prior loss = 1.207 | diffusion loss = 0.126
Epoch 315: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 316: duration loss = 0.290 | prior loss = 1.205 | diffusion loss = 0.123
Epoch 317: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.122
Epoch 318: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.123
Epoch 319: duration loss = 0.289 | prior loss = 1.205 | diffusion loss = 0.122
Epoch 320: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.122
Epoch 321: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.123
Epoch 322: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.123
Epoch 323: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.124
Epoch 324: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.123
Epoch 325: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.124
Epoch 326: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.122
Epoch 327: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.124
Epoch 328: duration loss = 0.290 | prior loss = 1.207 | diffusion loss = 0.125
Epoch 329: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.123
Epoch 330: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.123
Epoch 331: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.124
Epoch 332: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.122
Epoch 333: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.121
Epoch 334: duration loss = 0.289 | prior loss = 1.205 | diffusion loss = 0.123
Epoch 335: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.126
Epoch 336: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.123
Epoch 337: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.126
Epoch 338: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.123
Epoch 339: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.122
Epoch 340: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.124
Epoch 341: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.124
